SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
103-042-1	03 PİN	       FORD         	51-1166-1 FOCUS FUSİON BOBIN SOKETI ***SİYAH  ( 3 PIN )		3026A 3K026A 3S084 3026A
103-043	03 PİN	       FORD         	51-1495 FORD MONDEO TRANSİT EKSANTRİK SENSÖR SOKETI  2.0 TDCİ 2.2 TDCİ ( 3 PIN )		3038 3K038 3S104 3038 3K054
103-044	03 PİN	           MITSUBISHI   ISUZU  KONJEKTOR	51-1116 KONJEKTOR & KM SENSÖRÜ & BOBİN SOKETI ( 3 PIN )		3013 3K013 5234 3S028 3013 3K013
103-045	03 PİN	         TOYOTA     ISUZU  	51-1117 KILOMETRE SENSÖR SOKETI ISUZU TOYOTA ( 3 PIN )		3012 3K012 5235A 3S027 3012 3K012
103-045-1	03 PİN	         TOYOTA     ISUZU  	KILOMETRE SENSÖR SOKETI ISUZU TOYOTA ( 3 PIN )		3012B
103-046	03 PİN	         TOYOTA       	51-1242 KILOMETRE SENSÖR SOKETI TOYOTA ***SİYAH ( 3 PIN )		3012A 3K012A 5235B 3S029 3012A 3K012A
103-047	03 PİN	        NISSAN        KONJEKTOR	51-1125 JAPON KONJEKTOR SOKETI ( 3 PIN )		3050 3K050 3035 3S038 3K038
103-048	03 PİN	   OPEL     NISSAN        	51-1123 NİSSAN BOBİN & 1.7 OPEL SENSÖR SOKETI ( 3 PIN )		3024 3K024 9781 3S037 3024 3K024
103-049	03 PİN	 FIAT      FORD        PMC 	51-1122 FORD TRANSİT JUMPER DENSO RAIL SOKETI ( 3 PIN )		3025 3K025 9695 3S081 3025 3K025
103-050	03 PİN	       FORD         KONJEKTOR	51-1121 FORD FOCUS CONNECT KONJEKTOR & KM SENSÖR SOKETI ( 3 PIN )		3023A 3K023A 9699 3S083 3023A 3K023A
103-051	03 PİN	                	51-1165 JAPON SENSÖR SOKETİ SUZUKİ  ( 3 PIN )		9695 3K025A
103-052	03 PİN	                	51-1473 HONDA KİLOMETRE SENSÖRÜ SOKETİ ( 3 PIN )		3039 3K039 3328 3S036 3039 3K039
103-053	03 PİN	          HYUNDAI      	51-1479 HYUNDAİ HARARET MÜŞÜR SOKETI ( 3 PIN )		3062 3K054 3318 3K047
103-054	03 PİN	          HYUNDAI      	51-1489 HYUNDAİ KİA FAN REZİSTANSI & ISITICI ROLE SOKETI ( 3 PIN )		3040 3K040 3326 3S022 3040 3K040
103-055	03 PİN	                	51-1485 EKSANTRİK SENSOR SOKET ( 3 PIN )		3053 3K053 3317 3S079
103-056	03 PİN	        NISSAN        	51-1281 IS MAKINESI JCB & NİSSAN KLİMA MÜŞÜR SOKETİ ( 3 PIN )		3029 3K029 5267 3S080 3029 3K029
103-057	03 PİN	                	51-1413 IS MAKINE SOKETI ( 3 PIN )		3052 3K052 5261 3S040 3K052
103-058	03 PİN	                	51-1420 SOKET KARSILIGI ( 3 PIN )		5262
103-059	03 PİN	RENAULT        NISSAN        	51-1133 RENAULT NİSSAN KLIMA MUSURU - RENAULT DACİA KM SENSOR SOKETI ( 3 PIN )		3017 3K017 4071 3S071 3017 3K017
103-059-1	03 PİN	RENAULT        NISSAN        	51-1133 RENAULT NİSSAN KLIMA MUSURU - RENAULT DACİA KM SENSOR SOKETI ***KARŞILIĞI ( 3 PIN )		3017E
103-059-2	03 PİN	RENAULT        NISSAN        	51-1133 RENAULT NİSSAN KLIMA MUSURU - RENAULT DACİA KM SENSOR SOKETI ***Y.M. ( 3 PIN )		3017A
103-060	03 PİN	RENAULT FIAT    BMW           	51-1157 BMW KLIMA MUSUR- FİAT RENAULT BMW PARK SENSOR SOKETI ( 3 PIN )		3014 3K014 2126A 3S073 3014 3K014
103-061	03 PİN	 FIAT  OPEL             	51-1417 FİAT & OPEL PARK SENSOR SOKETI ( 3 PIN ) ***ORTA TIRNAK		3030 3K030A 3319 3S092 3030 3K060A
103-061-1	03 PİN	 FIAT  OPEL             	51-1417-1 FİAT & OPEL PARK SENSOR SOKETI ( 3 PIN ) ***ÜST TIRNAK		3030A 3K030A 3319 3S092 3030A
103-062	03 PİN	                	51-1159 PARK SENSOR SOKETI ***SİYAH ( 3 PIN )		3018 3K018 6066A 3S064 3018 3K018
103-062-1	03 PİN	                	51-1328 PARK SENSÖR SOKETI ( 3 PIN )		3018A 3K018A 3018A
103-062-2	03 PİN	                	51-1159 PARK SENSÖR SOKETİ ***ÇERÇEVELİ (3 PİN)		3069
103-062-3	03 PİN	                	PARK SENSÖR SOKETİ BEYAZ (3 PİN)		3018A 3S065 3K018A
103-062-4	03 PİN	                	PARK SENSÖR SOKETİ SARI (3 PİN)		3018B
103-062-5	03 PİN	                	PARK SENSÖR SOKETİ KAHVERENGİ (3 PİN)		3018K
103-062-6	03 PİN	                	PARK SENSÖR SOKETİ MOR (3 PİN)		3018M
103-062-7	03 PİN	                	ARKA PARK SENSÖR SOKETİ GRİ (3 PİN)		3067A
103-062-8	03 PİN	                	ARKA PARK SENSÖR SOKETİ MAVİ (3 PİN)		3067B
103-063	03 PİN	         TOYOTA       	51-1160 TOYOTA CAM SU FISKIYE MOTOR SOKETI ( 3 PIN )		6189
103-064K	03 PİN	       FORD        PMC 	51-1161 FORD DIREKSIYON POMPA SOKETI BEYAZ ( 3 PIN )		3021A 3K021A 5043 3S089 3021A 3K021A
103-065K	03 PİN	       FORD        PMC 	51-1162 FORD DIREKSIYON POMPA SOKETI SIYAH ( 3 PIN )		3021 3K021 5042 3S088 3021 3K021
103-066	03 PİN	                	51-1616 H13 AMPUL SOKETI MİNİ MUSTANG CHRYSLER ( 3 PIN )		3048 3K048 3S090 3048 3K048
103-067	03 PİN	RENAULT                	51-1167 RENAULT ÇAKMAK SOKETİ MGN II III IV CLİO III IV KNG III  ( 3 PIN )		3027 3K027 3S076 3027 3K027
103-067-1	03 PİN	RENAULT                	51-1167-1 RENAULT ÇAKMAK SOKETİ MGN II III IV CLİO III IV KNG III  ( 3 PIN )		3027A 3862
103-068	03 PİN	                	51-1279 HONDA BOBİN SOKETI SIYAH ***UST TIRNAK ( 3 PIN )		3049 3K049 5880 3S041 3049 3K049
103-068-1	03 PİN	                	51-1279-1 DENSO SOKET SİYAH ***ORTA TIRNAK ( 3 PIN )		3049A 3K049A 3S042 3049A
103-070	03 PİN	                	51-1579 DENSO JAPON SOKET ( 3 PIN )		3070 3324 3S043
103-071	03 PİN	                	51-1595 İŞ MAKİNASI DEUTSCH SOKET DTM06-3S ( 3 PIN )		3K031A 4033 3S100
103-072	03 PİN	                	51-1596 İŞ MAKİNASI DEUTSCH KARSILIGI DTM04-3P ( 3 PIN )		3K031AE 4034 3S101
103-073	03 PİN	           MITSUBISHI   ISUZU  	51-1547 MITSUBISHI & ISUZU ABS SOKETI ( 3 PIN )		3042 3K042 3033 3S044 3042
103-074	03 PİN	   OPEL             	51-1589 OPEL FAN MOTOR & REZİSTANS SOKETI ( 3 PIN )		3047 3K047 3S018 3047 3K061
103-075	03 PİN	 FIAT               	51-1156 CAKMAK SOKETI ( 3 PIN )		3004 3K004 3004 3K004
103-076	03 PİN	 FIAT   VOLKSWAGEN   FORD         	51-1564 H11B / H15 AMPUL SOKETI ( 3 PIN )		H15
103-077	03 PİN	 FIAT               	51-1329 ALBEA STOP & M131 TAVAN LAMBA SOKETI ( 3 PIN ) 103-078 İLE AYNI		5825 3S075
103-079	03 PİN	                	51-1291 MGN I LGN I FREN MUSUR SOKETI ( 3 PIN )		3028 3K028 3S074 3028 3K028
103-081	03 PİN	                	51-1545 HELLA & VALEO FAR AYAR MOTORU & CAM ANAHTAR SOKETI ( 3 PIN )		
103-083	03 PİN	                	51-1529 UNİVERSAL INCE SOKET CAM ANAHTARI & AYNA ( 3 PIN )		
103-085	03 PİN	      MERCEDES          	MERCEDES-BENZ VALF SOKETİ (3 PIN)		3S014 3K055
103-086	03 PİN	       FORD         	FORD SOKETİ ( 3 PIN)		3S093 3K060
103-087	03 PİN	    VOLKSWAGEN            	BOBİN SOKETİ AUDI A4 / A6 & VW PASSAT 1.8 - 1.8T  ( 3 PIN)		
104-001	04 PİN	RENAULT FIAT  OPEL            PMC 	51-1002-1 BOSCH TIPI SOKET  MAP & OKSİJEN & DEBİMETRE  FİAT RENAULT OPEL ( 4 PIN )  ***OEM   *** ÇERÇEVELİ ( 4 PIN )		4011 4K011 5768 4S003 4011 4K011
104-002	04 PİN	                	51-1392 BOSCH TIPI SOKET KARSILIGI ( 4 PIN )		5768B 4S004
104-003	04 PİN	 FIAT  OPEL            PMC 	51-1551 DEBİMETRE SOKETİ FİAT OPEL   ***** KİLİTLİ & KIZAKLI   ( 4 PIN )		4011A 4K011A 4011A
104-004	04 PİN	                	51-1014-1  SİGMA SOKET MASTER MEGANE II ŞAMANDIRA SOKETİ   **** İKİ KABLOSU KALIN (4 PİN) SOKET ORJİNAL SICMA		4K010A 5762 4S008 4010 4K010
104-004-1	04 PİN	                	51-1014    SİGMA SOKET MASTER MEGANE II ŞAMANDIRA SOKETİ   **** İKİ KABLOSU KALIN (4 PİN)		
104-004K	04 PİN	                	51-1014-1    SİGMA SOKET KALIN KABLO (4 PİN)		4010 4K010 4S009 4010
104-005	04 PİN	RENAULT  PEUGEOT              	51-1171 SIGMA SOKET KARSILIGI ( 4 PIN )		4K010E
104-006	04 PİN	 FIAT               	51-1015 FIAT MAREA ISI MUSURU & BRC LPG SİSTEMİ SOKETI ( 4 PIN )		4004 4K004 5764 4S010 4004 4K004
104-007K	04 PİN	   OPEL             	51-1039-1 UNIVERSAL SOKET VECTRA B PALİO MAREA CLİO EM BOBİN & VECTRA B DEBİMETRE ( 4 PIN )		4003 4K003 5500 4S016 4003 4K003
104-008	04 PİN	RENAULT    VOLKSWAGEN            	51-1040-1 VW RENAULT ( ISI ) HARARET & VW KLIMA MUSUR SOKETI ( 4 PIN )		4016A 4K016A 5512 4S019 4016A 4K016A
104-008-1	04 PİN	                	HARARET-KLİMA MÜŞÜR SOKETİ (4 PİN)		4016B 4K016B 4S018 4K016B
104-008-2	04 PİN	RENAULT    VOLKSWAGEN            	51-1041 VW RENAULT ( ISI ) HARARET & VW  KLIMA MUSUR SOKETI ( 4 PIN )		4016 4K016 4S017 4016 4K016
104-009	04 PİN	RENAULT FIAT               	51-1053-K SUPER SEAL SOKET *****KABLOSUZ ( 4 PIN )		4K008
104-009K	04 PİN	RENAULT FIAT               	51-1053 SUPER SEAL SOKET & DKŞ BOBİN & CLİO BOBİN & PALİO ŞAMANDIRA ( 4 PIN )		4008 5686 4S001 4008 4K008
104-009-1	04 PİN	                	OKSİJEN SENSÖRÜ SOKETİ ( 4 PIN )		4K008X
104-010	04 PİN	                	51-1054-K SUPER SEAL SOKET KARSILIGI ****KABLOSUZ ( 4 PIN )		4K008E
104-010K	04 PİN	                	51-1054 SUPER SEAL SOKET KARSILIGI ( 4 PIN )		4008E 5692 4S002 4008E 4K008E
104-011	04 PİN	                	51-1066 ROLANTI MOTOR SOKETI ( 4 PIN )		4001 4K001 2130 4S007 4001 4K001
104-012	04 PİN	     BMW  FORD         	51-1086 BMW FORD PARK SENSOR & POTANSIYOMETRE & BMW KLİMA BASINÇ MÜŞÜRÜ  SOKETI ( 4 PIN )		4014 1K014 5227 4S013 4014 4K014
104-013	04 PİN	    VOLKSWAGEN            	51-1100 VW MAP SENSÖR SOKETI D TİPİ INCE ( 4 PIN )		4022 4K022 5782 4S031 4022 4K022
104-014	04 PİN	    VOLKSWAGEN            	51-1103 VW ŞAMANDIRA SOKETI D TİPİ KALIN ***( 4 FİŞLİ 2 KALIN + 2 İNCE FİŞ)   ( 4 PIN )		4022B 4K022B 4022 4S029 4022B 4K022B
104-015	04 PİN	    VOLKSWAGEN            	51-1102 VW KALEM BOBİN & AKL BOBİN SOKETI D TİPİ KALIN ( 4 PIN )		4022A 4K022A 6067 4S024 4022A 4K022A
104-016	04 PİN	    VOLKSWAGEN            	51-1102-1 VW D TİPİ SOKET KALIN DIS KARSILGI ( 4 PIN )		6067B 4S025
104-017	04 PİN	    VOLKSWAGEN  MERCEDES         PMC 	51-1393 VW M.BENZ D TİPİ SOKET ( 4 PIN )		4030 4K030 5271 4S026 4030 4K030
104-018	04 PİN	    VOLKSWAGEN            	51-1101 VW ISI & HARARET MUSURU SOKETI D TİPİ ( 4 PIN )		4035 4K035 5823 4S032 4035 4K035
104-019	04 PİN	    VOLKSWAGEN            	51-1228 VW FAR SOKETI EM ( 4 PIN )		4006 4K006 4006 4S033 4006 4K006
104-020	04 PİN	         TOYOTA       	51-1124 TOYOTA HAVAAKISMETRE SOKETI DENSO ( 4 PIN )		4020 4K020 5886 4S063 4020 4K020
104-021	04 PİN	         TOYOTA       	51-1127 TOYOTA KALEM BOBIN SOKETI ( 4 PIN )		4018 4K018 5888 4S061 4018 4K018
104-022	04 PİN	RENAULT        NISSAN        	51-1178 RENAULT ŞAMANDIRA NİSSAN SENSÖR SOKETİ ( 4 PIN )		4024 4K024 4024 4S060 4024 4K024
104-023	04 PİN	RENAULT  PEUGEOT      NISSAN       PMC 	51-1436 RENAULT DACİA  PSA NİSSAN DEPO ŞAMANDIRA SOKETİ ( 4 PIN )		4019 4K019 4S059 4019 4K019
104-024	04 PİN	       FORD         	51-1498 FORD SENSÖR SOKETİ ( 4 PIN )		4043 4K043 9699B 4S042 4043 4K043
104-025	04 PİN	RENAULT               PMC 	51-1180 RENAULT DACİA FAN REZS. & OKS. SENSÖR & KİLİT SOKETİ ***SİYAH ( 4 PIN )		4026 4K026 4072 4S011 4026 4K026
104-025-1	04 PİN	RENAULT                	51-1180 RENAULT DACİA FAN REZS. & OKS. SENSÖR & KİLİT SOKETİ  ( 4 PIN )		4026B
104-025G	04 PİN	RENAULT                	51-1180 RENAULT DACİA FAN REZS. & OKS. SENSÖR & KİLİT SOKETİ ***GRİ ( 4 PIN )		4026A 4K026A
104-025K	04 PİN	RENAULT                	51-1180 RENAULT DACİA FAN REZS. & OKS. SENSÖR & KİLİT SOKETİ ***KAHVERENGİ ( 4 PIN )		4026C
104-026	04 PİN	RENAULT                	51-1333 OKSİJEN SENSÖR SOKETİ    ****104-025 KARŞILIĞI ( 4 PIN )		4026E 4K026E 4S012 4026E 4K026E
104-027	04 PİN	 FIAT  OPEL VOLKSWAGEN  MERCEDES         PMC 	51-1282 OPEL & FİAT VW SENSÖR & HAVADEBİMETRE SOKETİ   ( 4 PIN )		4036 4K036 4066 4S005 4036 4K036
104-027-1	04 PİN	 FIAT  OPEL VOLKSWAGEN            	51-1282 OPEL & FİAT VW SENSÖR & HAVADEBİMETRE SOKETİ   ( 4 PIN )		4036B
104-027-2	04 PİN	 FIAT  OPEL VOLKSWAGEN            	51-1282 OPEL & FİAT VW SENSÖR & HAVADEBİMETRE SOKETİ   ( 4 PIN )		4036C
104-027-3	04 PİN	 FIAT  OPEL VOLKSWAGEN            	51-1282 OPEL & FİAT VW SENSÖR & HAVADEBİMETRE SOKETİ ***MAVİ   ( 4 PIN )		4036A
104-028	04 PİN	RENAULT  PEUGEOT OPEL VOLKSWAGEN  MERCEDES          	51-1179-1 RENAULT OPEL DACİA PSA VW M.BENZ  KALORIFER REZISTANS SOKETI ( 4 PIN )		4025 4K025 4S038 4025 4K025
104-029	04 PİN	RENAULT  PEUGEOT              	51-1175 PEUGEOT & RENAULT  FREN MUSUR SOKETI ( 4 PIN )		4017 4K017 4S020 4017 4K017
104-030	04 PİN	       FORD         	51-1331 FORD KALORIFER REZİSTANS & MOTOR SOKETI  ***KALIN KABLO ( 4 PIN )		4002 4K002 4120 4S040 4K002
104-031	04 PİN	RENAULT                	51-1172 CLİO KANGOO MASTER TRAFIC FREN MUSUR SOKETI ( 4 PIN )		4012 4K012 6s057 4012 4K012
104-032	04 PİN	RENAULT                	51-1169 RENAULT MASTER I - LAGUNA FAN & HARARET MUSUR SOKETI ( 4 PIN )		
104-033	04 PİN	RENAULT                	51-1173 RENAULT TWİNGO CLİO KANGO MEGANE I KLIMA BASINÇ MUSUR SOKETI ( 4 PIN )		4013 4K013 4013 4S054 4013 4K013
104-034	04 PİN	 FIAT               	51-1174 FİAT PALİO MAREA & ROVER KLİMA BASINÇ MUSUR SOKETI ( 4 PIN )		4015 4K015 4015 4S043 4015 4K015
104-035	04 PİN	           MITSUBISHI     	51-1474 MITSUBISHI FUSO CANTER KİLOMETRE SENSÖR SOKETİ  ( 4 PIN )		4027A 4K027A 4S067 4027A 4K027A
104-036	04 PİN	       FORD         	51-1391 FORD CONNECT FOCUS FİESTA  KLIMA BASINÇ MUSUR SOKETI ( 4 PIN )		4005 4K005 4005 4S045 4005 4K005
104-037	04 PİN	                	51-1334 HONDA SENSÖR SOKETI ( 4 PIN )		4027 4K027 5314B 4S069 4027 4K027
104-038	04 PİN	                	51-1227 HONDA SENSÖR & DENSO KLIMA KOMPRESOR SOKETI ( 4 PIN )		4029 4K038 4185 4S068 4029 4K029
104-039	04 PİN	         TOYOTA       KONJEKTOR	51-1335 TOYOTA KONJEKTOR SOKETI ( 4 PIN ) YEŞİL & SİYAH		4028 4K028 4S066 4028 4K028
104-039-1	04 PİN	                	SENSÖR SOKETİ JAPON TİPİ (4 PIN)		4061 4S071
104-040	04 PİN	  PEUGEOT              	51-1177 PEUGEOT 106 206 306 SİYAH BOBIN SOKETI ****SIYAH ( 4 PIN )		4023 4K023 4023 4K023
104-040-1	04 PİN	  PEUGEOT              	51-1177-1 PEUGEOT 106 206 306 GRİ BOBIN SOKETI ****GRİ ( 4 PIN )		4023 4K023 4S056
104-041	04 PİN	          HYUNDAI      	51-1561 HYUNDAİ FAN MOTOR ROLE SOKETI ( 4 PIN )		4004 4S041
104-042	04 PİN	          HYUNDAI      	51-1251 HYUNDAİ & KİA SİGORTA KUTU SOKETİ ( 4 PIN )		4066 4s065
104-043	04 PİN	             VOLVO   	51-1552 VOLVO BOBIN SOKETI ( 4 PIN )		4K045 2119 4S058 4045 4K045
104-044	04 PİN	       FORD         	51-1229 FORD SENSÖR & MÜŞÜR & TESİSAT ARA SOKETİ ( 4 PIN )		4032 4K032 4S048 4032 4K032
104-045	04 PİN	          HYUNDAI    ISUZU  	51-1368 ISUZU KELEBEK BOĞAZI & HYUNDAİ OKSİJEN SENSÖR SOKETİ ( 4 PIN )		4039 4K039 4941 4S075 4039 4K039
104-046	04 PİN	          HYUNDAI      	51-1475 HYUNDAİ & KİA SENSÖR - RÖLE SOKETI  ( 4 PIN )		4042 4K042 4S070 4042
104-047	04 PİN	      MERCEDES          	51-1606 MERCEDES KAMYON & TIR HAVA VENTİL SOKETI ( 4 PIN )		4047 4K047 4183 4S078 4047 4K041A
104-048K	04 PİN	                	51-1304K İŞMAKİNASI DEUTSCH SOKET ****KABLOLU ***DT06-4S ( 4 PIN )		4034 4K034 4055 4S081 4034 4K034K
104-049K	04 PİN	                	51-1303K İŞMAKİNASI DEUTSCH SOKET KARSILIGI ****KABLOLU ***DT04-4P ( 4 PIN )		4034E 4K034E 4054 4S082 4034E 4K034EK
104-050	04 PİN	                	51-1394 İŞMAKİNASI DEUTSCH SOKET ERKEK  ***DTM06-4S  ( 4 PIN )		4K034A 4035 4S083 4K034A
104-051	04 PİN	                	51-1395 İŞMAKİNASI DEUTSCH SOKET ***KARSILIGI  ***DTM04-4P ( 4 PIN )		4K034AE 4036 4S084 4K034AE
104-052	04 PİN	                	51-1421 İŞMAKİNASI SOKETİ ( 4 PIN )		5263 4S073
104-054	04 PİN	             VOLVO  PMC 	51-1487 VOLVO PENTA ENJEKTÖR SOKETİ  ( 4 PIN )		4K007 4068 4S085 4K007
104-055	04 PİN	     BMW           	51-1550 İŞMAKİNASI SOKETİ ( 4 PIN )		4K009 4S080 4009 4K009
104-056	04 PİN	 FIAT               	51-1337 FİAT ALBEA STOP SOKETI ( 4 PIN )		5826
104-057	04 PİN	  PEUGEOT OPEL             	51-1224 VECTRA B FAR SOKETI - PEUGEOT OKSIJEN SENSOR SOKET KARSILIGI ( 4 PIN )		4033 4K033 4S014 4033 4K033
104-058	04 PİN	RENAULT       FORD        PMC 	51-1176 FORD MAP SENSÖR SOKETİ ( 4 PİN )		4021 4K021 4019 4S052 4021 4K021
104-059	04 PİN	       FORD      VOLVO   	51-1290 FORD FAN KONTROL ÜNİTE SOKETI ( 4 PIN )		3022 3K022 9697 4S037 3022 3K022
104-060	04 PİN	    VOLKSWAGEN            	51-1295 VW FAN MOTOR & FAN KONTROL RÖLESİ SOKETİ  ( 4 PIN )		4037 4K037 5619 4S034 4037 4K037
104-060-1	04 PİN	                	RADYATÖR FANI SOKETİ SKODA - AUDI (4 PİN)		4037A
104-060-2	04 PİN	    VOLKSWAGEN            	51-1295 VW FAN MOTOR & FAN KONTROL RÖLESİ SOKETİ *** KARŞILIĞI  ( 4 PIN )		4S035
104-061	04 PİN	    VOLKSWAGEN            	51-1504 VW FAN MOTOR SOKETİ ( 4 PIN )		5620
104-062	04 PİN	    VOLKSWAGEN            	51-1608 VW ISITICI TESİSAT & AKÜ ÜSTÜ SIGORTA KUTU  SOKETI ( 4 PIN )		4860
104-063K	04 PİN	      MERCEDES          	51-1130K KİLOMETRE SOKETI		4044 4K044 5791K 4S086 4044 4K044K
104-064K	04 PİN	      MERCEDES          	51-1271K KİLOMETRE SOKETİ KARSILIGI (ORJİNAL ÜRÜN -TYCO / AMP)		4044E 4K044E 4001 4S087 4044E 4K044EK
104-065	04 PİN	                	51-1396 DAF & MAN YAĞ MÜŞÜRÜ & KİLOMETRE SENSÖR SOKETİ ( 4 PIN )		4040 4K040 2478 4S088 4040 4K040
104-066	04 PİN	                	51-1599 VDO TAKOGRAF KİLOMETRE MÜŞÜR SOKETİ (4 PİN)		4031 4K031 5858 4031
104-067	04 PİN	              ISUZU  KONJEKTOR	51-1416 ISUZU KONJEKTOR SOKETI ( 4 PIN )		2127
104-068	04 PİN	         TOYOTA       	51-1451 TOYOTA FAN SOKET ( 4 PIN )		4041 4K041 4S072 4041 4K041
104-069	04 PİN	       FORD         	51-1367 FORD OKSİJEN SENSÖR SOKETİ ( 4 PIN )		4038 4K038 4S053 4038 4K038
104-070	04 PİN	       FORD         	51-1238 FORD OKSİJEN SENSÖR SOKETİ  ( 4 PIN )		
104-072	04 PİN	       FORD         	51-1234 FORD HARARET-KLIMA MUSUR SOKET KARSILIGI ( 4 PIN )		
104-073	04 PİN	RENAULT                	51-1609 RENAULT MGN II SIGORTA KUTU YUVASI BSI SOKETI		4048 4K048 4011 4S021
104-074	04 PİN	    VOLKSWAGEN            	51-1613 VW FREN MUSUR SOKETI 4 PIN		
104-075	04 PİN	                	51-1456 CAM ANAHTAR SOKET ( 4 PIN )		
104-076	04 PİN	RENAULT    VOLKSWAGEN  MERCEDES          	51-1586 MERCEDES SPRINTER & C180 -  RENAULT MASTER FAN SOKETI ( 4 PIN )		4046 4K046 4S036 4046
104-077	04 PİN	                	51-1455 UNIVERSAL ROLE SOKETI ( 4 PIN )		
104-078	04 PİN	       FORD         	OKSİJEN SENSÖRÜ SOKETİ FORD  ( 4 PIN )		4070
104-079	04 PİN	      MERCEDES          	KAPI MOTORU SOKETİ MERCEDES-BENZ (4 PİN)		4064
104-080	04 PİN	       FORD         	SOKET FORD (4 PİN)		4063
104-081	04 PİN	   OPEL             	STOP SOKETİ OPEL ASTRA K ( 4 PİNLİ)		4070A 4S049
105-001K	05 PİN	      MERCEDES          KONJEKTOR	51-1005 MERCEDES ACTROS BOSCH DİNAMO SARJ & KONJEKTÖR SOKETI ****KABLOLU ( 5 PIN )		5011 5K011 7532 5011 5K011K
105-002	05 PİN	                	51-1003 BOSCH TIPI SOKET ( 5 PIN )		5009 5K009 9700 5S012 5009 5K009
105-003	05 PİN	RENAULT  PEUGEOT              	51-1016 RENAULT PSA GAZ PEDAL EGR AGR SOKETİ SIGMA ( 5 PIN )		5000 5K000 5537 5S018 5000 5K000
105-004	05 PİN	RENAULT                	51-1017 MEGANE II HALOJEN FAR SOKETI ( 5 PIN )		5006 5K006 2128 5S019 5006 5K006
105-005	05 PİN	       FORD         	51-1042 FORD FAN & HARARET MUSUR SOKETI ( 5 PIN )		5007 5K007 5S011 5007 5K007
105-006	05 PİN	RENAULT FIAT               	51-1043 UNIVERSAL & UNO 70 1.4 ie  & R9-19 1.4 ie  EXPRES POTANSİYOMETRE SOKETI ( 5 PIN )		5003 5K003 5781 5S010 5003 5K003
105-007K	05 PİN	 FIAT               	51-1055 SUPER SEAL SOKET ( 5 PIN )		5001 5K001 5691 5S001 5001 5K001
105-008	05 PİN	 FIAT               	51-1056 SUPER SEAL SOKET KARSILIGI ( 5 PIN )		5001E 5K001E 5693 5S002 5001E 5K001E
105-009	05 PİN	   OPEL             	51-1067 OPEL EGR VALF SOKETI ( 5 PIN )		5004 5K004 5S013 5004 5K004
105-009-1	05 PİN	   OPEL             	51-1067-1 OPEL EGR VALF SOKETI ( 5 PIN )		5004B 5S014
105-010	05 PİN	    VOLKSWAGEN            	51-1209 VW SAMANDIRA SOKETI D SOKET KALIN ( 5 PIN )		5013 5K013 6862 5S006 5013 5K013
105-010-1	05 PİN	    VOLKSWAGEN            	51-1209-1 VW MAP SENSÖR SOKETI D TİPİ INCE ( 5 PIN )		5019 5K019 5787 5019 5K019
105-010-2	05 PİN	    VOLKSWAGEN            	VW SOKETİ ( 5 PIN )		5S003
105-011	05 PİN	    VOLKSWAGEN  MERCEDES         PMC 	51-1181 VW DEBIMETRE - FAR SOKETI EM ( 5 PIN )		5002C 5K002C 5S007 5002C
105-012	05 PİN	    VOLKSWAGEN  MERCEDES FORD         	51-1397 VW & M.BENZ & FORD SENSÖR SOKETI ( 5 PIN )		5002 5K002 5003 5S008 5002 5K002
105-013	05 PİN	         TOYOTA     ISUZU PMC 	51-1247 TOYOTA & ISUZU & HONDA DENSO DEBİMETRE & SENSÖR  SOKETI ( 5 PIN )		5012 5K012 5246 5S023 5012
105-014	05 PİN	   OPEL             	51-1246-1 OPEL INSIGNIA & ASTRA J HAVA AKISMETRE SOKETI ( 5 PIN )		5024 5K023 5S020 5024
105-014-1	05 PİN	   OPEL            PMC 	51-1246-1 OPEL INSIGNIA & ASTRA J HAVA AKISMETRE SOKETI ( 5 PIN )		5023 5K024 5023
105-015K	05 PİN	    VOLKSWAGEN  MERCEDES         PMC 	51-1211 VW HAVA AKISMETRE SOKETİ  BOSCH TIP ( 5 PIN )		5002A 5K002A 5002 5S005 5002A 5K002A
105-016K	05 PİN	RENAULT                	51-1182 RENAULT CLİO KANGO MEGANE I & ÜNİVERSAL CAM DUGME SOKETI KABLOLU ( 5 PIN )		5004A 5K004A 5051 5S033 5004A 5K004A
105-017	05 PİN	    VOLKSWAGEN BMW MERCEDES         PMC 	51-1184 VW & BMW & M.BENZ MAP SENSOR & HAVA DEBİMETRE SOKETI ( 5 PIN )		5010 5K010 5010 5S015 5010 5K010
105-017-1	05 PİN	    VOLKSWAGEN BMW           	51-1184 VW & BMW & M.BENZ MAP SENSOR & HAVA DEBİMETRE SOKETI ( 5 PIN )		5010A
105-018	05 PİN	                	51-1270 ÜNİVERSAL SOKET YANDAN TIRNAKLI ***KABLOSUZ ( 5 PIN )		
105-019	05 PİN	         TOYOTA   MAZDA    	51-1370 MAZDA & HONDA SENSÖR SOKETI ( 5 PIN )		5018 5K018 5S024 5018
105-020	05 PİN	         TOYOTA       	51-1617 TOYOTA HAVA DEBİBETRE SOKETI ( 5 PIN )		5025 5K025 5S022 5025
105-021	05 PİN	 FIAT PEUGEOT              	51-1496 FIAT & PSA  DUCATO SILECEK MOTOR SOKETI ( 5 PIN )		5021 5K021 5212 5S016 5021 5K021
